rank,n_estimators,max_depth,max_features,min_samples_split,min_samples_leaf,mean_f1,std_f1,mean_accuracy,std_accuracy,time_s
1,500,,sqrt,2,1,0.9137152089163948,0.0096552181945475,0.914138769083316,0.0092145707423942,41.9744
2,500,,log2,2,1,0.9137152089163948,0.0096552181945475,0.914138769083316,0.0092145707423942,46.5525
3,500,,0.5,2,1,0.9137152089163948,0.0096552181945475,0.914138769083316,0.0092145707423942,66.3884
4,200,,sqrt,2,1,0.913593207578942,0.0107268909389795,0.9139528992948586,0.010339391764902,53.8417
5,200,,log2,2,1,0.913593207578942,0.0107268909389795,0.9139528992948586,0.010339391764902,44.0682
6,200,,0.5,2,1,0.913593207578942,0.0107268909389795,0.9139528992948586,0.010339391764902,18.2516
7,200,20.0,sqrt,2,1,0.9131742696035136,0.0111417252556679,0.913583898131033,0.010745330145397,29.5666
8,200,20.0,log2,2,1,0.9131742696035136,0.0111417252556679,0.913583898131033,0.010745330145397,50.5052
9,200,20.0,0.5,2,1,0.9131742696035136,0.0111417252556679,0.913583898131033,0.010745330145397,47.8121
10,500,20.0,sqrt,2,1,0.9126671757449484,0.0098338971680814,0.9130280002738412,0.0095394772910329,27.2317
